Code,Dataset,BIOME,Species,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Pmass,log Parea,log Amass,log Aarea,log Gs,log Rdmass,log Rdarea,Ca - Ci,,,,
1525,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Bauhinia holophylla,T,,B,C3,Y,,2.16,0.384,0.539,,,1.86,1.02,,,,,,,,
1526,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Bowdichia virgilioides,T,,B,C3,Y,,2.23,0.375,0.600,,,1.74,0.96,,,,,,,,
1527,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Campomanesia aromatica,T,,B,C3,N,,2.17,0.170,0.343,,,1.85,1.02,,,,,,,,
1528,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Caryocar brasiliense,T,,B,C3,N,,2.07,0.276,0.348,,,1.90,0.97,,,,,,,,
1529,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Connarus suberosus,T,,B,C3,N,,2.17,0.188,0.361,,,1.91,1.09,,,,,,,,
1530,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Davilla rugosa,T,,B,C3,N,,2.22,0.146,0.366,,,1.79,1.01,,,,,,,,
1531,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Didymopanax vinosum,T,,B,C3,N,,2.17,0.260,0.430,,,2.08,1.25,,,,,,,,
1532,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Duguetia furfuracea,T,,B,C3,N,,2.22,0.276,0.499,,,1.76,0.99,,,,,,,,
1533,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Gochnatia floribunda,T,,B,C3,N,,2.23,0.207,0.432,,,1.98,1.21,,,,,,,,
1534,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Kielmeyera coriacea,T,,B,C3,N,,2.31,0.037,0.349,,,1.71,1.02,,,,,,,,
1535,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Miconia albicans,T,,B,C3,N,,2.18,0.164,0.349,,,1.92,1.11,,,,,,,,
1536,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Miconia ligustroides,T,,B,C3,N,,2.12,0.188,0.305,,,2.03,1.15,,,,,,,,
1537,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Piptocarpha rotundifolia,T,,B,C3,N,,2.20,0.294,0.499,,,1.89,1.09,,,,,,,,
1538,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Qualea dichotoma,T,,B,C3,N,,2.16,0.179,0.334,,,1.88,1.04,,,,,,,,
1539,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Styrax camporum,T,,B,C3,N,,2.32,0.215,0.537,,,1.59,0.91,,,,,,,,
1540,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Tibouchina stenocarpa,T,,B,C3,N,,2.13,0.207,0.340,,,2.16,1.30,,,,,,,,
1541,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,Tocoyena formosa,T,,B,C3,N,,2.20,0.270,0.468,,,1.61,0.81,,,,,,,,
1542,Prior_woodland,TROP_FOR,Callitris intratropica,T,E,N,C3,N,,2.35,0.045,0.392,-1.161,-0.814,1.56,0.89,,,,,,,,
1543,Prior_woodland,TROP_FOR,Cochlospermum fraseri,T,D,B,C3,N,0.52,1.78,0.246,0.023,-1.097,-1.320,2.20,0.97,,,,,,,,
1544,Prior_woodland,TROP_FOR,Corymbia foelscheana,T,E,B,C3,N,0.99,2.35,-0.108,0.239,-1.432,-1.085,1.77,1.11,,,,,,,,
1545,Prior_woodland,TROP_FOR,Melaleuca viridiflora,T,E,B,C3,N,1.01,2.37,-0.114,0.253,-1.432,-1.065,1.79,1.15,,,,,,,,
1546,Prior_woodland,TROP_FOR,Planchonia careya,T,D,B,C3,N,0.93,2.00,0.204,0.208,-1.071,-1.066,2.00,1.01,,,,,,,,
1547,Prior_woodland,TROP_FOR,Syzygium eucalyptoides ssp bleeseri,T,E,B,C3,N,1.05,2.10,0.064,0.167,-1.194,-1.091,1.82,0.92,,,,,,,,
1548,Prior_woodland,TROP_FOR,Terminalia ferdinandiana,T,D,B,C3,N,0.68,2.08,0.182,0.263,-1.092,-1.011,2.03,1.11,,,,,,,,
1549,Prior_woodland,TROP_FOR,Xanthostemon paradoxus,T,E,B,C3,N,1.02,2.14,0.061,0.197,-1.310,-1.173,1.93,1.07,,,,,,,,
1550,Prior_open forest,TROP_FOR,Brachychiton megaphyllus,T,D,B,C3,N,0.85,1.99,0.305,0.297,-0.896,-0.905,2.03,1.03,,,,,,,,
1551,Prior_open forest,TROP_FOR,Buchanania obovata,T,E,B,C3,N,1.04,2.21,0.061,0.275,-1.143,-0.928,1.81,1.03,,,,,,,,
1552,Prior_open forest,TROP_FOR,Erythrophleum chlorostachys,T,E,B,C3,Y,0.98,2.00,0.358,0.358,-1.092,-1.092,2.04,1.04,,,,,,,,
1553,Prior_open forest,TROP_FOR,Eucalyptus tetrodonta,T,E,B,C3,N,0.91,2.26,-0.149,0.111,-1.481,-1.222,1.79,1.05,,,,,,,,
1554,Prior_open forest,TROP_FOR,Planchonia careya,T,D,B,C3,N,0.85,1.92,0.260,0.185,-0.955,-1.030,2.10,1.03,,,,,,,,
1555,Prior_open forest,TROP_FOR,Syzygium suborbiculare,T,E,B,C3,N,0.98,2.14,0.079,0.222,-1.201,-1.058,1.91,1.05,,,,,,,,
1556,Prior_open forest,TROP_FOR,Terminalia ferdinandiana,T,D,B,C3,N,0.72,2.00,0.179,0.183,-1.046,-1.041,1.97,0.97,,,,,,,,
1557,Prior_open forest,TROP_FOR,Eucalyptus clavigera,T,E,B,C3,N,,2.15,0.017,0.163,,,1.93,1.08,,,,,,,,
1558,Prior_open forest,TROP_FOR,Eucalyptus miniata,T,E,B,C3,N,,2.09,0.230,0.324,,,2.12,1.22,,,,,,,,
1559,Prior_swamp,TROP_FOR,Acacia auriculiformis,T,E,B,C3,Y,1.00,2.02,0.394,0.417,-0.921,-0.899,2.13,1.16,,,,,,,,
1560,Prior_swamp,TROP_FOR,Lophostemon lactifluus,T,E,B,C3,N,0.94,2.08,-0.018,0.063,-1.310,-1.229,1.83,0.92,,,,,,,,
1561,Prior_swamp,TROP_FOR,Melaleuca viridiflora,T,E,B,C3,N,0.99,2.36,-0.215,0.142,-1.553,-1.196,1.81,1.15,,,,,,,,
1562,Prior_dry monsoon forest,TROP_FOR,Ficus racemosa,T,E,B,C3,N,0.78,1.82,0.382,0.200,-0.759,-0.941,2.40,1.21,,,,,,,,
1563,Prior_dry monsoon forest,TROP_FOR,Ficus scobina,T,E,B,C3,N,0.68,1.92,0.479,0.399,-0.730,-0.810,2.18,1.09,,,,,,,,
1564,Prior_dry monsoon forest,TROP_FOR,Mallotus nesophilus,T,E,B,C3,N,0.70,1.88,0.350,0.230,-0.833,-0.953,2.24,1.12,,,,,,,,
1565,Prior_dry monsoon forest,TROP_FOR,Melaleuca leucadendra,T,E,B,C3,N,0.91,2.17,0.021,0.195,-1.086,-0.912,2.11,1.27,,,,,,,,
1566,Prior_dry monsoon forest,TROP_FOR,Terminalia microcarpa,T,D,B,C3,N,0.85,1.92,0.358,0.279,-0.775,-0.854,2.22,1.12,,,,,,,,
1567,Prior_dry monsoon forest,TROP_FOR,Wrightia pubescens,T,D,B,C3,N,0.83,1.72,0.511,0.227,-0.785,-1.068,2.26,0.98,,,,,,,,
1568,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Acantholimon diapensioides,H,,,,,,2.11,,,,,,,,,,,,,,
1569,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Achnatherum splendens,G,,,,,,2.08,,,,,,,,,,,,,,
1570,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ajania tibetica,S,,,,,,2.04,,,,,,,,,,,,,,
1571,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Allium platyspathum,H,,,,,,2.07,,,,,,,,,,,,,,
1572,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Allium sp,H,,,,,,1.55,,,,,,,,,,,,,,
1573,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Artemisia leucotricha,S,,,,,,2.00,,,,,,,,,,,,,,
1574,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Artemisia pamirica,S,,,,,,1.85,,,,,,,,,,,,,,
1575,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Artemisia rhodantha,S,,,,,,1.94,,,,,,,,,,,,,,
1576,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Astragalus tibetanus,H,,,,,,1.62,,,,,,,,,,,,,,
1577,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Carex dimorphotheca,G,,,,,,1.71,,,,,,,,,,,,,,
1578,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Carex orbicularis,G,,,,,,1.91,,,,,,,,,,,,,,
1579,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Carex pseudofoetida,G,,,,,,1.72,,,,,,,,,,,,,,
1580,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Christolea crassifolia,H,,,,,,2.06,,,,,,,,,,,,,,
1581,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Comarum salesovianum,S,,,,,,1.54,,,,,,,,,,,,,,
1582,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Corydalis stricta,H,,,,,,1.96,,,,,,,,,,,,,,
1583,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Dracocephalum heterophyllum,S,,,,,,1.84,,,,,,,,,,,,,,
1584,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Elymus nutans,G,,B,,,,1.70,,,,,,,,,,,,,,
1585,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ephedra regeliana,S,,,,,,1.88,,,,,,,,,,,,,,
1586,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Gentiana karelinii,H,,,,,,1.63,,,,,,,,,,,,,,
1587,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Gentiana leucomelaena,H,,,,,,1.82,,,,,,,,,,,,,,
1588,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Glaux maritima,H,,,,,,1.88,,,,,,,,,,,,,,
1589,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Gypsophila capituliflora,H,,,,,,2.07,,,,,,,,,,,,,,
1590,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Halerpestes sarmentosa,H,,,,,,1.77,,,,,,,,,,,,,,
1591,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Hedysarum minjanense,H,,,,,,1.69,,,,,,,,,,,,,,
1592,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Hordeum turkestanicum,G,,B,,,,1.66,,,,,,,,,,,,,,
1593,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Knorringia pamiricum,H,,,,,,2.07,,,,,,,,,,,,,,
1594,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Kobresia capilliformis,G,,,,,,1.61,,,,,,,,,,,,,,
1595,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Krascheninnikovia ceratoides,S,,,,,,1.97,,,,,,,,,,,,,,
1596,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Leymus pubescens,G,,B,,,,1.98,,,,,,,,,,,,,,
1597,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ligularia alpigena,H,,,,,,1.81,,,,,,,,,,,,,,
1598,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Lindelofia pterocarpa,H,,,,,,1.79,,,,,,,,,,,,,,
1599,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Lomatocarpa albomarginata,H,,,,,,1.74,,,,,,,,,,,,,,
1600,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Macrotomia euchroma,H,,,,,,2.10,,,,,,,,,,,,,,
1601,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Myricaria squamosa,S,,,,,,2.04,,,,,,,,,,,,,,
1602,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Oxytropis chiliophylla,H,,,,,,1.56,,,,,,,,,,,,,,
1603,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Oxytropis globiflora,H,,,,,,1.70,,,,,,,,,,,,,,
1604,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Parnassia laxmannii,H,,,,,,1.72,,,,,,,,,,,,,,
1605,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Pedicularis ludwigii,H,,,,,,1.85,,,,,,,,,,,,,,
1606,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Pentaphylloides dryadanthoides,S,,,,,,1.94,,,,,,,,,,,,,,
1607,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Plantago arachnoidea,H,,,,,,1.88,,,,,,,,,,,,,,
1608,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla anserina,H,,B,C3,N,,1.89,,,,,,,,,,,,,,
1609,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla malacotricha,H,,,,,,1.91,,,,,,,,,,,,,,
1610,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla moorcroftii,H,,,,,,2.11,,,,,,,,,,,,,,
1611,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla multifida,H,,,,,,2.01,,,,,,,,,,,,,,
1612,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Primula algida,H,,,,,,2.05,,,,,,,,,,,,,,
1613,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Primula pamirica,H,,,,,,1.60,,,,,,,,,,,,,,
1614,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Pyrethrum djilgense,H,,,,,,2.02,,,,,,,,,,,,,,
1615,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ranunculus krasnovii,H,,,,,,1.66,,,,,,,,,,,,,,
1616,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ranunculus pseudohirculus,H,,,,,,1.79,,,,,,,,,,,,,,
1617,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Saussurea salsa,H,,,,,,1.88,,,,,,,,,,,,,,
1618,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Scrophularia pamirica,H,,,,,,1.87,,,,,,,,,,,,,,
1619,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Senecio krascheninnikovii,H,,,,,,1.78,,,,,,,,,,,,,,
1620,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Serratula procumbens,H,,,,,,1.91,,,,,,,,,,,,,,
1621,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Silene graminifolia,H,,,,,,1.72,,,,,,,,,,,,,,
1622,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Stellaria winkleri,H,,,,,,1.64,,,,,,,,,,,,,,
1623,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Stipa orientalis,G,,,,,,1.55,,,,,,,,,,,,,,
1624,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Suaeda olufsenii,H,,,,,,2.26,,,,,,,,,,,,,,
1625,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Taraxacum dissectum,H,,,,,,1.78,,,,,,,,,,,,,,
1626,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Taraxacum leucantum,H,,,,,,1.82,,,,,,,,,,,,,,
1627,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Viola tianschanica,H,,,,,,1.80,,,,,,,,,,,,,,
1628,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Zygophyllum rosowii,H,,,,,,2.21,,,,,,,,,,,,,,
1629,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Androsace akbaitalensis,H,,,,,,1.59,,,,,,,,,,,,,,
1630,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Bistorta viviparum,H,,,,,,1.91,,,,,,,,,,,,,,
1631,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Clematis tangutica,S,,,,,,1.91,,,,,,,,,,,,,,
1632,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Draba korshinskyi,H,,,,,,1.47,,,,,,,,,,,,,,
1633,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Draba pamirica,H,,,,,,1.82,,,,,,,,,,,,,,
1634,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Dracocephalum paulsenii,H,,,,,,1.81,,,,,,,,,,,,,,
1635,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Erigeron heterochaeta,H,,,,,,1.77,,,,,,,,,,,,,,
1636,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Erigeron poncinsii,H,,,,,,1.84,,,,,,,,,,,,,,
1637,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Lloydia serotina,H,,,,,,2.22,,,,,,,,,,,,,,
1638,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Oxygraphis glacialis,H,,,,,,1.84,,,,,,,,,,,,,,
1639,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Oxyria digyna,H,D,B,C3,N,,1.65,,,,,,,,,,,,,,
1640,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Oxytropis incanescens,H,,,,,,2.01,,,,,,,,,,,,,,
1641,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Papaver involucratum,H,,,,,,1.86,,,,,,,,,,,,,,
1642,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Primula macrophylla,H,,,,,,2.03,,,,,,,,,,,,,,
1643,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Rheum spiciforme,H,,,,,,2.07,,,,,,,,,,,,,,
1644,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Rhodiola gelida,H,,,,,,1.98,,,,,,,,,,,,,,
1645,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Rhodiola pamiroalaica,H,,,,,,1.64,,,,,,,,,,,,,,
1646,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Saxifraga hirculus,H,,,,,,1.94,,,,,,,,,,,,,,
1647,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Sibbaldia tetrandra,H,,,,,,1.95,,,,,,,,,,,,,,
1648,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Smelowskia pectinata,H,,,,,,1.61,,,,,,,,,,,,,,
1649,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Swertia marginata,H,,,,,,1.74,,,,,,,,,,,,,,
1650,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Valeriana fedtschenkoi,H,,,,,,1.71,,,,,,,,,,,,,,
1651,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Calamagrostis anthoxanthoides,G,,B,,,,1.70,,,,,,,,,,,,,,
1652,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Carex melanantha,G,,,,,,1.78,,,,,,,,,,,,,,
1653,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Carex stenocarpa,G,,,,,,1.64,,,,,,,,,,,,,,
1654,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Chenopodium foliosum,H,,,,,,1.82,,,,,,,,,,,,,,
1655,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Geranium himalayense,H,,,,,,1.68,,,,,,,,,,,,,,
1656,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Leontopodium ochroleucum,H,,,,,,1.90,,,,,,,,,,,,,,
1657,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Lonicera semenovii,S,,,,,,1.89,,,,,,,,,,,,,,
1658,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Potentilla pamirica,H,,,,,,2.11,,,,,,,,,,,,,,
1659,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Ranunculus rufosepalus,H,,,,,,1.74,,,,,,,,,,,,,,
1660,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Rhodiola heterodonta,H,,,,,,2.01,,,,,,,,,,,,,,
1661,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Sophiopsis annua,H,,,,,,1.90,,,,,,,,,,,,,,
1662,Pyankov_Urals_Yekaterinburg,BOREAL,Impatiens noli-tangere,H,,,,N,,1.16,0.600,-0.242,,,,,,,,,,,,
1663,Pyankov_Urals_Yekaterinburg,BOREAL,Capsella bursa-pastoris,H,,,,N,,1.39,0.637,0.062,,,,,,,,,,,,
1664,Pyankov_Urals_Yekaterinburg,BOREAL,Lepidium ruderale,H,,,,N,,1.70,0.604,0.309,,,,,,,,,,,,
1665,Pyankov_Urals_Yekaterinburg,BOREAL,Thlaspi arvense,H,,,,N,,1.61,0.606,0.213,,,,,,,,,,,,
1666,Pyankov_Urals_Yekaterinburg,BOREAL,Spergula arvensis,H,,,,N,,1.95,0.471,0.322,,,,,,,,,,,,
1667,Pyankov_Urals_Yekaterinburg,BOREAL,Stellaria media,H,,,,N,,1.49,0.597,-0.391,,,,,,,,,,,,
1668,Pyankov_Urals_Yekaterinburg,BOREAL,Chenopodium album,H,,B,C3,N,,1.24,0.647,0.150,,,,,,,,,,,,
1669,Pyankov_Urals_Yekaterinburg,BOREAL,Fumaria officinalis,H,,,,N,,1.36,0.693,0.056,,,,,,,,,,,,
1670,Pyankov_Urals_Yekaterinburg,BOREAL,Erodium cicutarium,H,,,,N,,1.26,0.294,-0.056,,,,,,,,,,,,
1671,Pyankov_Urals_Yekaterinburg,BOREAL,Polygonum aviculare,H,,,,N,,1.47,0.691,0.164,,,,,,,,,,,,
1672,Pyankov_Urals_Yekaterinburg,BOREAL,Melampyrum pratense,H,,,,N,,1.69,0.520,0.206,,,,,,,,,,,,
1673,Pyankov_Urals_Yekaterinburg,BOREAL,Spergularia rubra,H,,,,N,,1.91,0.433,0.342,,,,,,,,,,,,
1674,Pyankov_Urals_Yekaterinburg,BOREAL,Leucanthemum vulgare,H,,,,N,,1.48,0.340,-0.032,,,,,,,,,,,,
1675,Pyankov_Urals_Yekaterinburg,BOREAL,Campanula sibirica,H,,,,N,,1.93,0.233,0.065,,,,,,,,,,,,
1676,Pyankov_Urals_Yekaterinburg,BOREAL,Hyoscyamus niger,H,,,,N,,1.25,0.732,0.283,,,,,,,,,,,,
1677,Pyankov_Urals_Yekaterinburg,BOREAL,Aegopodium podagraria,H,,,,N,,1.52,0.611,0.129,,,,,,,,,,,,
1678,Pyankov_Urals_Yekaterinburg,BOREAL,Vincetoxicum hirundinaria,H,,,,N,,1.51,0.648,-0.011,,,,,,,,,,,,
1679,Pyankov_Urals_Yekaterinburg,BOREAL,Antennaria dioica,H,,,,N,,1.60,0.164,-0.101,,,,,,,,,,,,
1680,Pyankov_Urals_Yekaterinburg,BOREAL,Anthemis tinctoria,H,,,,N,,1.88,0.279,0.154,,,,,,,,,,,,
1681,Pyankov_Urals_Yekaterinburg,BOREAL,Arctium tomentosum,H,,,,N,,1.30,0.675,0.127,,,,,,,,,,,,
1682,Pyankov_Urals_Yekaterinburg,BOREAL,Artemisia absinthium,H,,,,N,,1.38,0.344,0.069,,,,,,,,,,,,
1683,Pyankov_Urals_Yekaterinburg,BOREAL,Artemisia vulgaris,H,,,,N,,1.53,0.367,-0.092,,,,,,,,,,,,
1684,Pyankov_Urals_Yekaterinburg,BOREAL,Aster amellus,H,,,,N,,1.99,0.324,0.315,,,,,,,,,,,,
1685,Pyankov_Urals_Yekaterinburg,BOREAL,Cacalia hastata,H,,,,N,,1.27,0.613,-0.046,,,,,,,,,,,,
1686,Pyankov_Urals_Yekaterinburg,BOREAL,Cirsium arvense,H,,,,N,,1.58,0.288,0.034,,,,,,,,,,,,
1687,Pyankov_Urals_Yekaterinburg,BOREAL,Echinops ritro,H,D,B,C3,N,,2.08,0.162,0.254,,,,,,,,,,,,
1688,Pyankov_Urals_Yekaterinburg,BOREAL,Inula hirta,H,,,,N,,1.67,0.450,0.249,,,,,,,,,,,,
1689,Pyankov_Urals_Yekaterinburg,BOREAL,Tanacetum vulgare,H,,B,C3,N,,1.63,0.381,0.097,,,,,,,,,,,,
1690,Pyankov_Urals_Yekaterinburg,BOREAL,Myosotis palustris,H,,,,N,,1.40,0.338,-0.387,,,,,,,,,,,,
1691,Pyankov_Urals_Yekaterinburg,BOREAL,Onobrychis arenaria,H,,,,N,,2.05,0.449,0.186,,,,,,,,,,,,
1692,Pyankov_Urals_Yekaterinburg,BOREAL,Bunias orientalis,H,,,,N,,1.62,0.713,0.330,,,,,,,,,,,,
1693,Pyankov_Urals_Yekaterinburg,BOREAL,Dianthus acicularis,H,,,,N,,1.85,0.326,-0.277,,,,,,,,,,,,
1694,Pyankov_Urals_Yekaterinburg,BOREAL,Dianthus versicolor,H,,,,N,,1.75,0.313,0.165,,,,,,,,,,,,
1695,Pyankov_Urals_Yekaterinburg,BOREAL,Sedum acre,H,,,,N,,2.30,0.181,0.482,,,,,,,,,,,,
1696,Pyankov_Urals_Yekaterinburg,BOREAL,Sedum purpureum,H,,,,N,,1.81,0.396,0.828,,,,,,,,,,,,
1697,Pyankov_Urals_Yekaterinburg,BOREAL,Knautia arvensis,H,,,,N,,1.59,0.332,-0.071,,,,,,,,,,,,
1698,Pyankov_Urals_Yekaterinburg,BOREAL,Lathyrus vernus,H,,,,Y,,1.30,0.653,0.105,,,,,,,,,,,,
1699,Pyankov_Urals_Yekaterinburg,BOREAL,Lupinus polyphyllus,H,,,,Y,,1.50,0.474,-0.023,,,,,,,,,,,,
1700,Pyankov_Urals_Yekaterinburg,BOREAL,Origanum vulgare,H,,,,Y,,1.69,0.250,0.001,,,,,,,,,,,,
1701,Pyankov_Urals_Yekaterinburg,BOREAL,Trifolium pratense,H,,B,C3,Y,,1.59,0.568,0.207,,,,,,,,,,,,
1702,Pyankov_Urals_Yekaterinburg,BOREAL,Trifolium repens,H,,B,C3,Y,,1.55,0.559,0.111,,,,,,,,,,,,
1703,Pyankov_Urals_Yekaterinburg,BOREAL,Herniaria glabra,H,,,,N,,2.04,0.316,0.421,,,,,,,,,,,,
1704,Pyankov_Urals_Yekaterinburg,BOREAL,Betonica officinalis,H,,,,N,,1.51,0.408,0.027,,,,,,,,,,,,
1705,Pyankov_Urals_Yekaterinburg,BOREAL,Glechoma hederaceae,H,,,,N,,1.34,0.719,0.056,,,,,,,,,,,,
1706,Pyankov_Urals_Yekaterinburg,BOREAL,Chamaenerion angustifolium,H,,B,C3,N,,1.56,0.521,0.078,,,,,,,,,,,,
1707,Pyankov_Urals_Yekaterinburg,BOREAL,Plantago media,H,,,,N,,1.58,0.262,-0.066,,,,,,,,,,,,
1708,Pyankov_Urals_Yekaterinburg,BOREAL,Polygala sibirica,H,,,,N,,1.84,0.267,0.108,,,,,,,,,,,,
1709,Pyankov_Urals_Yekaterinburg,BOREAL,Polygala vulgaris,H,,,,N,,1.83,0.376,0.184,,,,,,,,,,,,
1710,Pyankov_Urals_Yekaterinburg,BOREAL,Polygonum bistorta,H,,B,C3,N,,1.38,0.321,-0.299,,,,,,,,,,,,
1711,Pyankov_Urals_Yekaterinburg,BOREAL,Rumex acetosella,H,,,,N,,1.83,0.225,0.055,,,,,,,,,,,,
1712,Pyankov_Urals_Yekaterinburg,BOREAL,Trientalis europaea,H,,,,N,,1.35,0.560,0.012,,,,,,,,,,,,
1713,Pyankov_Urals_Yekaterinburg,BOREAL,Adonis vernalis,H,,,,N,,1.84,0.449,0.289,,,,,,,,,,,,
1714,Pyankov_Urals_Yekaterinburg,BOREAL,Anemone sylvestris,H,,,,N,,1.71,0.373,0.070,,,,,,,,,,,,
1715,Pyankov_Urals_Yekaterinburg,BOREAL,Aquilegia vulgaris,H,,,,N,,1.53,0.365,-0.104,,,,,,,,,,,,
